CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Bladder
cg25158622,0.1869,0.1509,0.0508,0.0504,0.0505,0.1438,0.1417,0.0504,0.0548
cg11975790,0.7251,0.2485,0.1584,0.6402,0.1886,0.7558,0.7261,0.3337,0.2389
cg25607383,0.786,0.5156,0.4442,0.6886,0.4665,0.7793,0.7248,0.4759,0.3411
cg14845962,0.9156,0.9098,0.9391,0.9103,0.9471,0.8968,0.9033,0.1065,0.2047
cg08367326,0.0967,0.1011,0.0991,0.1038,0.0556,0.0579,0.1113,0.0089,0.0258
cg16127573,0.8029,0.8161,0.7232,0.7291,0.7989,0.7728,0.7774,0.1284,0.1756
cg27312961,0.5519,0.3744,0.4722,0.5148,0.5939,0.5464,0.6212,0.0699,0.1283
cg13506158,0.8846,0.5882,0.7171,0.8792,0.8744,0.8613,0.9292,0.1851,0.2855
cg27269488,0.5222,0.4121,0.4911,0.517,0.5692,0.5258,0.591,0.118,0.1423
cg16278496,0.7411,0.8528,0.0816,0.8137,0.1024,0.654,0.8132,0.3267,0.1253
cg11798182,0.7748,0.8567,0.1112,0.8118,0.1406,0.6985,0.8092,0.3809,0.1855
cg15014975,0.9482,0.9537,0.8558,0.799,0.595,0.9149,0.9691,0.1275,0.1523
cg04221877,0.8308,0.8358,0.7972,0.7466,0.6794,0.7834,0.9262,0.3446,0.4153
cg10993442,0.8685,0.8405,0.8069,0.8004,0.7027,0.8028,0.8912,0.3433,0.3185
cg24019564,0.626,0.6624,0.576,0.4998,0.4298,0.5496,0.7084,0.1944,0.1749
cg05043794,0.4383,0.3658,0.1105,0.4032,0.1924,0.3575,0.2771,0.2109,0.1246
cg09577804,0.2943,0.241,0.2293,0.2131,0.2056,0.2517,0.2282,0.0236,0.0246
cg04778755,0.7571,0.7508,0.7472,0.6887,0.7545,0.7183,0.8623,0.1835,0.2003
cg19331221,0.1614,0.138,0.1276,0.1695,0.1784,0.1373,0.1822,0.0199,0.0331
cg18569141,0.2735,0.2696,0.3514,0.338,0.4462,0.2938,0.2394,0.0689,0.0466
cg16439823,0.2934,0.2423,0.2437,0.291,0.2821,0.2807,0.3422,0.1361,0.1507
cg18675610,0.5402,0.6193,0.3951,0.5454,0.5314,0.5786,0.5164,0.0651,0.1003
cg22706007,0.2148,0.2877,0.2011,0.266,0.3053,0.2318,0.219,0.0542,0.0491
cg22138735,0.4726,0.4945,0.3096,0.3544,0.363,0.4274,0.2408,0.2531,0.1477
cg04055490,0.5123,0.5545,0.2286,0.441,0.2011,0.4776,0.4123,0.1101,0.1469
cg08846870,0.9464,0.9383,0.947,0.9471,0.9471,0.9482,0.9701,0.2029,0.2164
cg07865091,0.7149,0.6769,0.6078,0.6529,0.6195,0.6946,0.7678,0.1086,0.1918
cg17847861,0.4302,0.173,0.229,0.1842,0.2195,0.3504,0.2446,0.1863,0.1105
cg03063309,0.7529,0.6688,0.5504,0.6141,0.5606,0.7108,0.6684,0.1097,0.1529
cg16402452,0.912,0.916,0.9147,0.9074,0.9304,0.8829,0.9413,0.1479,0.1993
cg11532431,0.7928,0.8391,0.797,0.8197,0.809,0.7844,0.875,0.1517,0.2114
cg02297709,0.8223,0.8464,0.8553,0.8259,0.8811,0.8128,0.8005,0.0419,0.1441
cg15926420,0.6805,0.6609,0.6532,0.6858,0.7184,0.6602,0.6753,0.1472,0.3507
cg24591770,0.9379,0.942,0.9398,0.9382,0.9456,0.9366,0.9432,0.2319,0.1429
cg10661769,0.5449,0.3934,0.6978,0.5665,0.7328,0.5568,0.4219,0.0788,0.1279
cg12433575,0.6892,0.586,0.8212,0.7495,0.8591,0.7026,0.7321,0.3238,0.3873
cg06398251,0.7411,0.6326,0.5041,0.7395,0.4862,0.5757,0.8291,0.1915,0.2244
cg04462378,0.5924,0.4854,0.4302,0.5129,0.5367,0.6126,0.6265,0.0737,0.1771
cg14395885,0.9541,0.9529,0.9541,0.953,0.9649,0.9529,0.9778,0.6242,0.3651
cg21181453,0.5752,0.7286,0.6958,0.6627,0.8,0.5805,0.6019,0.0684,0.0416
cg00769843,0.1656,0.3016,0.1669,0.1767,0.1807,0.1589,0.0876,0.0158,0.0114
cg07218880,0.7409,0.3803,0.1549,0.0854,0.1773,0.8049,0.8053,0.4626,0.2129
cg06889535,0.4966,0.5182,0.4764,0.4786,0.5492,0.5371,0.3545,0.0198,0.0909
cg01377358,0.7631,0.5214,0.2125,0.6559,0.263,0.6809,0.8262,0.1691,0.4139
cg11025609,0.7751,0.7393,0.577,0.4865,0.5468,0.7735,0.7126,0.2256,0.1053
cg01726273,0.5246,0.0399,0.0514,0.1637,0.0551,0.5346,0.5601,0.0779,0.0985
cg15185986,0.7174,0.5354,0.6731,0.6427,0.6466,0.7234,0.8066,0.1381,0.1448
cg06375761,0.161,0.1878,0.0776,0.0835,0.0453,0.1855,0.1159,0.0717,0.0661
cg13638257,0.1698,0.1944,0.0603,0.068,0.023,0.1998,0.1511,0.0658,0.1167
cg14419102,0.3889,0.3972,0.2134,0.2314,0.1045,0.402,0.3891,0.2209,0.2397
cg18353226,0.2078,0.202,0.1136,0.1356,0.0758,0.2172,0.1582,0.1305,0.1066
cg26083458,0.4801,0.4564,0.203,0.2918,0.0862,0.4926,0.3948,0.2425,0.2876
cg15575375,0.9152,0.96,0.9685,0.8539,0.9689,0.8811,0.9523,0.1207,0.2352
cg07438103,0.586,0.4884,0.143,0.4274,0.0943,0.5752,0.6658,0.1315,0.209
cg16988611,0.7131,0.5591,0.1881,0.5321,0.2221,0.6353,0.7894,0.1988,0.1783
cg16017089,0.8361,0.9344,0.9069,0.8436,0.924,0.7792,0.8789,0.1722,0.2129
cg08659179,0.7245,0.5662,0.518,0.5368,0.5081,0.7123,0.7653,0.1157,0.1613
cg16306706,0.6973,0.6043,0.5038,0.6889,0.4874,0.6543,0.7649,0.1452,0.1129
cg16829306,0.3748,0.2984,0.1131,0.2085,0.0667,0.3653,0.3071,0.091,0.1103
cg12461469,0.1733,0.0946,0.136,0.2033,0.2372,0.1864,0.332,0.0021,0.0367
cg13512830,0.4052,0.4846,0.4877,0.5211,0.5593,0.4909,0.5674,0.0684,0.1332
cg08662757,0.0293,0.5156,0.0308,0.0123,0.0192,0.0164,0.0084,0.0103,0.0386
cg14344261,0.0236,0.4105,0.0214,0.0111,0.0164,0.0089,0.0092,0.0137,0.0425
cg13910860,0.0596,0.312,0.0593,0.0531,0.0571,0.0555,0.0117,0.0354,0.0612
cg14317609,0.0291,0.8462,0.0595,0.0426,0.1156,0.0309,0.0231,0.0188,0.0463
cg06671450,0.1299,0.3823,0.1582,0.1236,0.175,0.1187,0.0877,0.0891,0.1677
cg19697530,0.0196,0.2757,0.0485,0.0165,0.0536,0.0109,0.0034,0.0054,0.008
cg09097345,0.0102,0.1659,0.0182,0.0085,0.0444,0.0088,0.0035,0.0011,0.0083
cg11033835,0.0124,0.2373,0.0344,0.0286,0.1462,0.0064,0.0146,0.0,0.0125
cg19176391,0.033,0.5195,0.06,0.0328,0.0672,0.0234,0.0174,0.0174,0.0634
cg25915131,0.0246,0.2428,0.0425,0.0543,0.0302,0.0428,0.1213,0.0914,0.0436
cg16802508,0.0884,0.4682,0.1489,0.091,0.1802,0.0796,0.0801,0.1114,0.1551
cg25753024,0.0397,0.5014,0.0468,0.0427,0.036,0.0465,0.0124,0.0188,0.0505
cg05289892,0.0781,0.5664,0.081,0.071,0.0624,0.0622,0.0184,0.0092,0.0318
cg24704730,0.0131,0.1518,0.0143,0.0072,0.0126,0.0066,0.0026,0.0024,0.0133
cg26059153,0.0155,0.1552,0.0588,0.017,0.1148,0.008,0.0047,0.0,0.0327
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007,0.0045,0.0037,0.0347
cg13650938,0.023,0.4081,0.1661,0.1171,0.1945,0.0188,0.0183,0.0066,0.0342
cg22451233,0.1806,0.2996,0.2061,0.1899,0.2464,0.1776,0.1215,0.1587,0.1596
cg24634420,0.0114,0.1563,0.0186,0.015,0.0615,0.0043,0.0037,0.0047,0.0538
cg20937139,0.0511,0.1794,0.075,0.0542,0.1252,0.0437,0.0355,0.0463,0.0776
cg17364114,0.0151,0.1901,0.0269,0.0124,0.0492,0.0083,0.0014,0.0011,0.0453
cg10700424,0.0368,0.2004,0.0307,0.0244,0.0326,0.0229,0.0124,0.0138,0.0403
cg07759394,0.0299,0.1746,0.0362,0.0268,0.0285,0.0264,0.0256,0.0043,0.0101
cg23919479,0.0143,0.1778,0.052,0.0218,0.1506,0.0125,0.0052,0.0051,0.0387
cg22079161,0.0902,0.4205,0.0846,0.0784,0.135,0.0636,0.027,0.0245,0.0411
cg13673164,0.035,0.1889,0.0456,0.0358,0.0642,0.0248,0.0057,0.0027,0.073
cg08915603,0.0185,0.2257,0.0709,0.0308,0.1615,0.01,0.0073,0.0024,0.031
cg09473510,0.0201,0.24,0.0847,0.0478,0.1847,0.0113,0.0132,0.0054,0.045
cg21918126,0.0112,0.151,0.039,0.0166,0.109,0.0088,0.0058,0.0081,0.0178
cg13920435,0.0358,0.2719,0.0365,0.0322,0.0251,0.0264,0.0121,0.0321,0.0772
cg16357921,0.0701,0.2716,0.069,0.0566,0.0642,0.0584,0.0566,0.0749,0.1302
cg20536983,0.0585,0.2597,0.0634,0.0649,0.1058,0.0661,0.0136,0.028,0.0499
cg03304380,0.025,0.2004,0.0164,0.0167,0.0431,0.0069,0.0049,0.0079,0.0421
cg05191076,0.0162,0.2079,0.0458,0.0294,0.1724,0.0066,0.0014,0.0081,0.0421
cg17426273,0.0157,0.2042,0.0618,0.0336,0.1472,0.0091,0.0071,0.0104,0.0326
cg08564661,0.0623,0.256,0.1081,0.0706,0.1938,0.051,0.0109,0.0217,0.0203
cg03205140,0.074,0.1892,0.0823,0.0632,0.1285,0.0501,0.0313,0.0426,0.0406
cg10576280,0.9112,0.9083,0.9186,0.9162,0.9309,0.9055,0.0534,0.0601,0.0813
cg03287340,0.0163,0.1854,0.0845,0.0407,0.185,0.0161,0.0077,0.001,0.0175
cg12585966,0.0075,0.3046,0.1704,0.0832,0.2144,0.0119,0.0055,0.0073,0.0462
cg02458065,0.0226,0.2066,0.0935,0.0265,0.1594,0.0125,0.0028,0.0063,0.0344
cg24333845,0.0356,0.3536,0.0476,0.0395,0.043,0.037,0.0515,0.0565,0.0262
cg05884394,0.0687,0.1514,0.099,0.1005,0.1327,0.0833,0.0371,0.0451,0.0269
cg03098837,0.0209,0.2297,0.045,0.0198,0.1542,0.0101,0.0056,0.0,0.0403
cg24617568,0.0298,0.0714,0.0428,0.0479,0.0534,0.0292,0.0083,0.029,0.0271
cg05446424,0.0175,0.1676,0.0402,0.02,0.086,0.0155,0.0046,0.0036,0.0394
cg05403555,0.0221,0.1486,0.0618,0.0338,0.1249,0.0155,0.0087,0.0012,0.0034
cg04053392,0.0132,0.1638,0.025,0.0125,0.0538,0.0116,0.0092,0.0087,0.051
cg11238048,0.1122,0.2961,0.1427,0.1092,0.1691,0.0964,0.0728,0.0904,0.111
cg24416513,0.0072,0.2049,0.0201,0.0098,0.0431,0.0046,0.0107,0.0142,0.0387
cg06906472,0.0273,0.2554,0.0344,0.0367,0.1272,0.0072,0.001,0.0025,0.0484
cg18778433,0.0367,0.2315,0.0476,0.0465,0.0932,0.018,0.0051,0.0072,0.0475
cg12535280,0.0478,0.301,0.0776,0.0747,0.1549,0.0222,0.0133,0.0231,0.0582
cg05602862,0.0247,0.2574,0.0966,0.0451,0.2132,0.0166,0.006,0.0128,0.0472
cg00604209,0.0182,0.1575,0.0519,0.0209,0.0815,0.0144,0.0057,0.0051,0.0197
cg08915603,0.0185,0.2257,0.0709,0.0308,0.1615,0.01,0.0073,0.0024,0.031
cg09473510,0.0201,0.24,0.0847,0.0478,0.1847,0.0113,0.0132,0.0054,0.045
cg24636477,0.0296,0.1855,0.0225,0.0329,0.0397,0.0306,0.0106,0.0097,0.0201
cg01244944,0.0902,0.2597,0.113,0.0977,0.1727,0.1013,0.0591,0.0852,0.1001
cg27475132,0.0228,0.201,0.054,0.0257,0.1401,0.0114,0.0049,0.0067,0.0303
cg24410535,0.0648,0.2,0.099,0.068,0.1558,0.0588,0.0503,0.0634,0.0978
cg25191850,0.0472,0.2607,0.0896,0.05,0.2047,0.037,0.0171,0.0108,0.0156
cg20947082,0.128,0.2066,0.1326,0.1214,0.1572,0.1256,0.0632,0.0388,0.0593
cg18301891,0.0099,0.1784,0.0399,0.0316,0.1466,0.0064,0.0001,0.0045,0.0708
cg01277542,0.0072,0.1257,0.0177,0.0086,0.0335,0.0056,0.0055,0.0044,0.0068
cg10362591,0.0838,0.2242,0.1533,0.0874,0.1823,0.0728,0.0517,0.0776,0.1726
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035,0.0066,0.003,0.0847
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107,0.005,0.0032,0.0585
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056,0.0033,0.0035,0.0516
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012,0.0031,0.0098,0.1154
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073,0.0037,0.0077,0.0732
cg25998402,0.0133,0.1538,0.0407,0.0102,0.0847,0.0077,0.0055,0.0168,0.0303
cg17156565,0.0699,0.2142,0.1204,0.0684,0.1664,0.0503,0.0286,0.0823,0.1029
cg20478129,0.0135,0.1669,0.0335,0.0374,0.1428,0.0094,0.0038,0.006,0.0464
cg16248329,0.0179,0.2269,0.0294,0.0382,0.1572,0.0044,0.0057,0.008,0.0823
cg10700424,0.0368,0.2004,0.0307,0.0244,0.0326,0.0229,0.0124,0.0138,0.0403
cg07759394,0.0299,0.1746,0.0362,0.0268,0.0285,0.0264,0.0256,0.0043,0.0101
cg05251676,0.0181,0.1441,0.0332,0.0209,0.0567,0.0125,0.0038,0.0017,0.0464
cg01552272,0.0671,0.2997,0.1894,0.1061,0.314,0.0403,0.0143,0.0092,0.0812
cg04624110,0.1034,0.3605,0.2756,0.1243,0.3694,0.0517,0.0185,0.0076,0.0867
cg23169957,0.074,0.3164,0.204,0.1076,0.3256,0.0488,0.0444,0.0354,0.1066
cg25557432,0.0309,0.2264,0.0931,0.0419,0.2005,0.0164,0.0064,0.0082,0.0434
cg04716990,0.022,0.202,0.0634,0.0278,0.1617,0.0107,0.0048,0.0083,0.0519
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007,0.0045,0.0037,0.0347
cg01552272,0.0671,0.2997,0.1894,0.1061,0.314,0.0403,0.0143,0.0092,0.0812
cg04624110,0.1034,0.3605,0.2756,0.1243,0.3694,0.0517,0.0185,0.0076,0.0867
cg23169957,0.074,0.3164,0.204,0.1076,0.3256,0.0488,0.0444,0.0354,0.1066
cg25557432,0.0309,0.2264,0.0931,0.0419,0.2005,0.0164,0.0064,0.0082,0.0434
cg04716990,0.022,0.202,0.0634,0.0278,0.1617,0.0107,0.0048,0.0083,0.0519
cg06571075,0.0157,0.162,0.0308,0.021,0.1158,0.007,0.0045,0.0037,0.0347
cg04925858,0.0665,0.2648,0.0359,0.0774,0.0359,0.086,0.1307,0.0265,0.0179
cg09082903,0.0172,0.1698,0.0813,0.038,0.1729,0.0121,0.0082,0.0009,0.0233
cg18932726,0.0214,0.2166,0.0294,0.0373,0.1604,0.007,0.0009,0.0033,0.1125
cg05608777,0.015,0.1465,0.0227,0.025,0.0866,0.0091,0.0051,0.0028,0.0643
cg11183632,0.0151,0.1446,0.0136,0.007,0.0366,0.0035,0.0012,0.0019,0.1357
cg20809378,0.0284,0.2439,0.0714,0.0508,0.1137,0.0226,0.0211,0.0084,0.0295
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035,0.0066,0.003,0.0847
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107,0.005,0.0032,0.0585
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056,0.0033,0.0035,0.0516
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012,0.0031,0.0098,0.1154
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073,0.0037,0.0077,0.0732
cg09912350,0.0179,0.153,0.0344,0.0241,0.093,0.0153,0.0056,0.0054,0.0293
cg21426003,0.0224,0.2545,0.0689,0.0279,0.1471,0.0168,0.0063,0.0106,0.1319
cg19761848,0.039,0.3181,0.1072,0.05,0.2133,0.0214,0.0055,0.0123,0.227
cg13985485,0.07,0.3311,0.0725,0.0421,0.1616,0.0206,0.0038,0.008,0.309
cg13570831,0.0192,0.1421,0.0196,0.0116,0.0312,0.0101,0.0026,0.003,0.1285
cg19358877,0.013,0.1348,0.044,0.0209,0.155,0.008,0.003,0.0026,0.023
cg03735496,0.034,0.2312,0.0534,0.0255,0.0829,0.0209,0.0056,0.007,0.1496
cg10276227,0.0204,0.2036,0.0466,0.0222,0.0648,0.0147,0.0094,0.0204,0.0369
cg14326196,0.0201,0.3029,0.0987,0.054,0.2759,0.0042,0.001,0.0157,0.0922
cg12894649,0.025,0.2003,0.065,0.0527,0.2394,0.0106,0.005,0.0067,0.1134
cg23944804,0.018,0.2048,0.0609,0.0415,0.2807,0.0099,0.0008,0.0028,0.0487
cg14603345,0.0215,0.2333,0.0808,0.0562,0.2957,0.0102,0.0021,0.0082,0.1123
cg14060111,0.0107,0.1927,0.0269,0.0154,0.0733,0.0035,0.0066,0.003,0.0847
cg09491991,0.0101,0.1549,0.0265,0.0145,0.0372,0.0107,0.005,0.0032,0.0585
cg25796439,0.0099,0.1411,0.023,0.0122,0.053,0.0056,0.0033,0.0035,0.0516
cg04432319,0.02,0.1932,0.0384,0.0284,0.1254,0.012,0.0031,0.0098,0.1154
cg12664209,0.0154,0.1829,0.0246,0.0161,0.0658,0.0073,0.0037,0.0077,0.0732
cg19811761,0.0175,0.2026,0.0786,0.0502,0.2436,0.0096,0.0213,0.0277,0.0798
cg00674365,0.0207,0.2295,0.0566,0.0449,0.2983,0.0054,0.0046,0.0014,0.0659
cg14255256,0.0447,0.2431,0.0801,0.0514,0.1247,0.0396,0.0179,0.0201,0.0263
cg03242819,0.0326,0.2218,0.0331,0.017,0.0818,0.0132,0.003,0.009,0.0679
cg19429281,0.0233,0.1976,0.0465,0.0243,0.1213,0.0083,0.0025,0.0032,0.0471
cg14344261,0.0236,0.4105,0.0214,0.0111,0.0164,0.0089,0.0092,0.0137,0.0425
cg13910860,0.0596,0.312,0.0593,0.0531,0.0571,0.0555,0.0117,0.0354,0.0612
cg26422161,0.03,0.2245,0.0584,0.0412,0.0919,0.0175,0.0105,0.0046,0.0487
cg18804985,0.029,0.1645,0.0481,0.0338,0.1176,0.0208,0.0035,0.0068,0.0189
cg23244559,0.0677,0.2582,0.1678,0.1129,0.2908,0.0628,0.0564,0.1053,0.1664
